created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 11 23:09:59 +0000 2024;1756817889003450397;"@NBrajmusti28848 @YasirMukhtar @Fahrihamzah @partaigeloraid @bawaslu_RI Justru karena sudah nonton Dirty Vote, dia berkata "siapa yang memusuhi kami". Playing victim";0;0;0;0;in;1151739891182526465;1756726549230104638;trizsutrisno2;https://twitter.com/trizsutrisno2/status/1756817889003450397
Sun Feb 11 23:09:56 +0000 2024;1756817878375092583;"@tempodotco Kaum GENTONG BABI ditelanjangi sampe kemaluan mrk yg menjijikan dipertontonkan ke Rakyat. Bravo 3 pendekar hukum Dirty Vote !!";0;0;0;1;in;1900885218;1756655967826223491;DEXTER888j;https://twitter.com/DEXTER888j/status/1756817878375092583
Sun Feb 11 23:09:46 +0000 2024;1756817836184654213;"Sebentar lagi dirty vote di take down ini kayaknya,istana kepanasan,istana panas dingin,sebentar lagi mencret.";0;0;0;2;in;1429486306317438982;1756817836184654213;Jebenk63285910;https://twitter.com/Jebenk63285910/status/1756817836184654213
Sun Feb 11 23:09:46 +0000 2024;1756817835698094229;"Sexy killer 🤝 dirty vote  Gerakan balck campaign yg ditunggangin berkedok";0;1;0;0;in;1383798560072736778;1756817835698094229;findnad;https://twitter.com/findnad/status/1756817835698094229
Sun Feb 11 23:09:46 +0000 2024;1756817834091631060;"harus kita lawan segala bentuk kecurangan dinegeri tercinta ini #dirtyvote  https://t.co/jKHenaK6Xn";0;0;0;0;in;297195085;1756817834091631060;raharjorestu;https://twitter.com/raharjorestu/status/1756817834091631060
Sun Feb 11 23:09:46 +0000 2024;1756817833630282163;"Dari "Dirty Vote" Kita bisa menarik kesimpulan BETAPA BEJATNYA sistem DEMOKRASI itu... Sudah saatnya kita mengganti dengan sistem yang benar/haq...Sistem Islam, #Khilafah #Khilafah_is_the_Political_Legacy_of_the_Prophethood";0;0;0;2;in;1696654702140891136;1756817833630282163;CelotehLurus;https://twitter.com/CelotehLurus/status/1756817833630282163
Sun Feb 11 23:09:40 +0000 2024;1756817808451850678;"@KompasTV Jadi banyak faham setelah nobar Dirty Vote😭";0;0;0;1;in;1542798802569965568;1756639785769451956;Pitalokarinjani;https://twitter.com/Pitalokarinjani/status/1756817808451850678
Sun Feb 11 23:09:37 +0000 2024;1756817798796558806;"baru aja nyelesain dirty vote dan kekk HAH HEH HOH kekk anjirr indonesiaa demokrasinya gini bangettt";0;0;0;1;in;1398659003463340036;1756817798796558806;jaeminiiees;https://twitter.com/jaeminiiees/status/1756817798796558806
Sun Feb 11 23:09:33 +0000 2024;1756817781469962506;"@fadlizon Nonton Dirty vote...ko jadi ngenes begini yaa...ternyata hadeuuh sebegitu culas dan tidak punya malu nya kah";0;0;0;1;in;982142056804958208;1756726580225978478;syberscape;https://twitter.com/syberscape/status/1756817781469962506
Sun Feb 11 23:09:26 +0000 2024;1756817748976681056;"OIKN mengungkapkan program Work From IKN memberikan pengenalan serta pengalaman kpd ASN utk merasakan bekerja langsung dari IKN. Sejauh ini respons dari ASN yg sudah menjalani program Work From IKN cukup positif.  Selingkuh Savitri Susanti Gelora Dirty Vote #SUGA Manchester https://t.co/Pw5qcTl7hy";1;3;16;19;in;1710309382293004288;1756817748976681056;Nidyna10;https://twitter.com/Nidyna10/status/1756817748976681056
Sun Feb 11 23:09:23 +0000 2024;1756817736590860511;"belum nonton dirty vote (belum nemu waktu yang pas) :o";0;0;0;0;in;1574364205742198786;1756817736590860511;seoturne;https://twitter.com/seoturne/status/1756817736590860511
Sun Feb 11 23:09:22 +0000 2024;1756817732845310046;"@bengkeldodo Yuk kawan..bantu promo film Dirty Vote yookk..";0;0;0;2;in;183840135;1756648420792836475;Mercyboyz;https://twitter.com/Mercyboyz/status/1756817732845310046
Sun Feb 11 23:09:18 +0000 2024;1756817718215586134;"Pemilu 2024 berjalan sesuai mandat konstitusi dan sejalan dengan cita-cita demokrasi.   Yang pasti Pemilu adalah bagian dari kematangan demokrasi, bagian dari ruang dialog partisipasi publik yang terbuka lebar. _ Selingkuh Savitri Susanti Gelora Dirty Vote #SUGA Manchester United https://t.co/IH6h3x2PgV";2;2;12;14;in;1381997510005202945;1756817718215586134;Akomeng6;https://twitter.com/Akomeng6/status/1756817718215586134
Sun Feb 11 23:09:16 +0000 2024;1756817708623302890;"Kalo ada orang abis nonton dirty vote tapi masih dukung 02, fix sdm kita emang serendah itu";0;1;0;4;in;1126442355832176642;1756817708623302890;hopegurls;https://twitter.com/hopegurls/status/1756817708623302890
Sun Feb 11 23:09:10 +0000 2024;1756817685416235295;"@DedynurPalakka Dirty Vote itu dirangkum dari semua yg berseliweran di medsos. Coba lihat jg tim anda selama kampanye melakukan kecurangan atau ngga? Dgn masih jabat dan pakai fasilitas negara apa ga curang namanya? Udah gitu ga ada tindakan jg dari bawaslu.";0;0;0;0;in;1365418859801419776;1756702501695631846;tundlestorm;https://twitter.com/tundlestorm/status/1756817685416235295
Sun Feb 11 23:09:07 +0000 2024;1756817671797268570;"@fadlizon gw jadi paham sekarang, terimakasih dirty vote 🫰";0;0;0;0;in;1463778965340835846;1756726580225978478;KARNABI43;https://twitter.com/KARNABI43/status/1756817671797268570
Sun Feb 11 23:09:04 +0000 2024;1756817659793207747;"Terpopuler: Dirty Vote Bongkar Politik Gentong Babi Jokowi, TKN Prabowo-Gibran Tantang Pembuktian Pelanggaran Pemilu https://t.co/YKEWFizkNL #TempoBisnis";15;172;602;1581;in;18129942;1756817659793207747;tempodotco;https://twitter.com/tempodotco/status/1756817659793207747
Sun Feb 11 23:09:00 +0000 2024;1756817639954141395;"Film dirty vote rilis = kerjaan buzzer paslon nambah.";0;2;0;4;in;359720505;1756817639954141395;davinpramudya;https://twitter.com/davinpramudya/status/1756817639954141395
Sun Feb 11 23:08:59 +0000 2024;1756817636456055035;"@fadlizon Woi lihat tuh Dirty vote. Culas kalian";0;0;0;1;in;1615129828038152199;1756726580225978478;01Tmd;https://twitter.com/01Tmd/status/1756817636456055035
Sun Feb 11 23:08:59 +0000 2024;1756817636334379344;"Dijeberin Dirty vote juga ga bakal mempan ini pendukung 02, respect.";0;0;0;1;in;1614399534;1756817636334379344;findrising;https://twitter.com/findrising/status/1756817636334379344
Sun Feb 11 23:08:57 +0000 2024;1756817629543870665;"Nyubuh bgt ini ngajak nonton dirty vote, ikhtiar buat mencerdaskan org² di rumah, walaupun di keluarga berwarna banget, tapi gk jadi hambatan, dari dulu juga memang polemik politik selalu ada.";0;0;0;1;in;1535641778568585221;1756817629543870665;n1d4nrhh;https://twitter.com/n1d4nrhh/status/1756817629543870665
Sun Feb 11 23:08:56 +0000 2024;1756817626540769612;"@PartaiSocmed Dirty vote disebut film aja udah aneh, ini lagi propaganda, wong itu cuma video orang presentasi 2 jam, orang indonesia mana mempan sama presentasi mereka kan percayanya sama podcast artis, story IG selebgram, video pendek tiktok, banter2 tokoh intelektualnya guru gembul";0;0;0;2;in;1226860922183929859;1756681033326703010;Aruls29;https://twitter.com/Aruls29/status/1756817626540769612
Sun Feb 11 23:08:48 +0000 2024;1756817591174349205;"Luar biasa X gw penuh dengan akun buzzer 02 dengan tweet rival sama Dirty vote. Padahal isi filmnya nyenggol -semua- paslon. Agak laen 🥴🥴😂";0;0;0;0;in;133591635;1756817591174349205;momofyukei;https://twitter.com/momofyukei/status/1756817591174349205
Sun Feb 11 23:08:47 +0000 2024;1756817587563045345;"Berbagai pelanggaran gak ada sangsinya  Lihat saja sendiri di dirty vote  Di jembreng jelas sekali, fakta susah dibantah penuh kecurangan";0;1;0;3;in;1605783604591620097;1756817587563045345;Avocado2Juice;https://twitter.com/Avocado2Juice/status/1756817587563045345
